incident_date,tz,address,prefecture,incident,animal,title_detail,url
2024-05-30,夕方,東京都練馬区谷原５丁目,東京都,下半身露出,False,（東京）練馬区谷原５丁目で下半身露出　５月３０日夕方,http://this.kiji.is/1169267542530458317?c=134733695793120758
2024-04-30,夕方,東京都小平市回田町,東京都,暴行,False,（東京）小平市回田町で暴行　４月３０日夕方,http://this.kiji.is/1158030597921112344?c=134733695793120758
2024-05-31,夕方,東京都北区東十条２丁目,東京都,声かけ,False,（東京）北区東十条２丁目で声かけ　５月３１日夕方,http://this.kiji.is/1169259575689561005?c=134733695793120758
2024-04-30,夕方,東京都日野市旭が丘１丁目,東京都,つきまとい,False,（東京）日野市旭が丘１丁目でつきまとい　４月３０日夕方,http://this.kiji.is/1158013460290633784?c=134733695793120758
2024-04-30,夕方,東京都品川区大崎１丁目,東京都,下半身露出,False,（東京）品川区大崎１丁目で下半身露出　４月３０日夕方,http://this.kiji.is/1158012909382320379?c=134733695793120758
2024-05-30,夕方,東京都江戸川区西葛西３丁目付近,東京都,不審な行動,False,（東京）江戸川区西葛西３丁目付近で不審な行動　５月３０日夕方,http://this.kiji.is/1169251810170651365?c=134733695793120758
2024-04-30,夕方,東京都文京区本郷１丁目,東京都,痴漢,False,（東京）文京区本郷１丁目で痴漢　４月３０日夕方,http://this.kiji.is/1157998289569825250?c=134733695793120758
2024-04-30,夕方,東京都渋谷区松濤２丁目,東京都,盗撮,False,（東京）渋谷区松濤２丁目で盗撮　４月３０日夕方,http://this.kiji.is/1157994917469880839?c=134733695793120758
2024-04-29,夕方,東京都多摩市落合３丁目,東京都,声かけ,False,（東京）多摩市落合３丁目で声かけ　４月２９日夕方,http://this.kiji.is/1157984821396472626?c=134733695793120758
2024-04-30,,東京都足立区荒川周辺地域,東京都,危険物設置,False,（東京）足立区荒川周辺地域で危険物設置　４月３０日,http://this.kiji.is/1157969819273855952?c=134733695793120758
2024-06-13,夜,東京都福生市熊川付近,東京都,下半身露出,False,（東京）福生市熊川付近で下半身露出　６月１３日夜,http://this.kiji.is/1174177660528378621?c=134733695793120758
2024-06-14,未明,東京都日野市程久保８丁目,東京都,下半身露出,False,（東京）日野市程久保８丁目で下半身露出　６月１４日未明,http://this.kiji.is/1174177097299804520?c=134733695793120758
2024-04-30,午後,東京都府中市分梅町５丁目,東京都,下半身露出,False,（東京）府中市分梅町５丁目で下半身露出　４月３０日午後,http://this.kiji.is/1157959636475609370?c=134733695793120758
2024-05-31,午前,東京都あきる野市伊奈,東京都,不審な訪問,False,（東京）あきる野市伊奈で不審な訪問　５月３１日午前,http://this.kiji.is/1169212108161860355?c=134733695793120758
2024-06-13,深夜,東京都多摩市永山４丁目付近,東京都,つきまとい,False,（東京）多摩市永山４丁目付近でつきまとい　６月１３日深夜,http://this.kiji.is/1174138335217680568?c=134733695793120758
